sentence,lemma,verb,verb_pos,theme,recipient,theme_pos,recipient_pos
give him a chin ?,give,give,VB,chin,him,NN,PRP
you better tell me more of this story about danny bear .,tell,tell,VB,more,me,JJR,PRP
what are you gonna give me for my birthday ?,give,give,VB,me,what,PRP,WP
what should i give you for your birthday ?,give,give,VB,you,what,PRP,WP
but i gave you that already .,give,gave,VBD,that,you,DT,PRP
could i give it like nanny ?,give,give,VB,nanny,it,NN,PRP
can you hand me a pen ?,hand,hand,VB,pen,me,NN,PRP
no come on give me this ?,give,give,VB,this,me,DT,PRP
shall you give baaee a kiss .,give,give,VB,kiss,baaee,NN,NNP
show me the passengers ?,show,show,VB,passengers,me,NNS,PRP
i'll give you some when it's when it's cool .,give,give,VB,some,you,DT,PRP
i'll give you some when it's when it's cool .,give,give,VB,some,you,DT,PRP
he sat on his bike and his mother gave him a push .,give,gave,VBD,push,him,NN,PRP
did you give it your best effort asked his mother ?,give,give,VB,effort,it,NN,PRP
you gave me a kiss on the head .,give,gave,VBD,kiss,me,NN,PRP
i'm sorry hilda i can't show you this .,show,show,VB,this,you,DT,PRP
next morning hilda serves everyone her cookies .,serve,serves,VBZ,cookies,everyone,NNS,NN
at snack time lowly offers hilda a cookie .,offer,offers,VBZ,cookie,hilda,NN,NNP
huckle calls his friends hi billy says huckle you won't believe this but hilda's on tv ?,call,calls,VBZ,billy,friends,NNP,NNS
at least give me one you can't have both honey ?,give,give,VB,one,me,NN,PRP
what you give me .,give,give,VBP,me,what,PRP,WP
i think she was with a patient when she told me this over the phone .,tell,told,VBD,this,me,DT,PRP
except those steps are too high that's what he told me .,tell,told,VBD,me,what,PRP,WP
we'll give you a box .,give,give,VB,box,you,NN,PRP
want me to get the book and read you the book again .,read,read,VB,book,you,NN,PRP
you're giving your baby a kleenex ?,give,giving,VBG,kleenex,baby,NN,NN
let's put your backpack on because you know what you're carrying your picnic lunch in it .,carry,carrying,VBG,lunch,what,NN,WP
so we can go bring her the shoes would you like to help bring her the shoes .,bring,bring,VB,shoes,her,NNS,PRP
oh that's gonna go in the big crash is that what you're telling me .,tell,telling,VBG,me,what,PRP,WP
so tell me more about your weekend william ?,tell,tell,VB,more,me,JJR,PRP
what else what other songs do they sing ?,sing,sing,VB,songs,what,NNS,WP
and before i give you this blanket i want you to answer a questions for me what are these babies doing in the bed .,give,give,VBP,blanket,you,NN,PRP
hey roman you know what your mom told me .,tell,told,VBD,me,what,PRP,WP
okay it will take me just a couple seconds you can't erase ?,take,take,VB,seconds,me,NNS,PRP
we'll we'll give you a little update if you want ?,give,give,VB,update,you,NN,PRP
what'd i tell you about saying that ?,tell,tell,VB,you,what,PRP,WP
well you tell me something and then i'll go away .,tell,tell,VB,something,me,NN,PRP
can you tell me a story about say a dinosaur ?,tell,tell,VB,story,me,NN,PRP
oh don't show everyone honey .,show,show,VB,honey,everyone,NN,NN
are you telling me a story .,tell,telling,VBG,story,me,NN,PRP
what are you doing giving me a shot ?,give,giving,VBG,shot,me,NN,PRP
can you give me a shot ?,give,give,VB,shot,me,NN,PRP
how many shots did you give me ?,give,give,VB,me,shots,PRP,NNS
i'll give you five dollars ?,give,give,VB,dollars,you,NNS,PRP
gonna give her another bath .,give,give,VB,bath,her,NN,PRP
now how do you give her a bath .,give,give,VB,bath,her,NN,PRP
can you can you make me some breakfast ?,make,make,VB,breakfast,me,NN,PRP
well let me tell you this ?,tell,tell,VB,this,you,DT,PRP
here here give me your hand .,give,give,VB,hand,me,NN,PRP
have something on the table that ursula brought adam .,bring,brought,VBD,adam,that,NNP,WDT
i don't know what kind you'd call that ?,call,call,VB,that,kind,DT,NN
let him give you some paper okay ?,give,give,VB,paper,you,NN,PRP
let's see what else can we tell manuela what else did we do over the summer .,tell,tell,VB,manuela,what,NNP,WP
hey uncle scar guess what i'm going to be king of pride rock my dad showed me the whole kingdom ?,show,showed,VBD,kingdom,me,NN,PRP
simba said mufasa let me tell you something my father told me ?,tell,tell,VB,something,you,NN,PRP
give me one good reason i shouldn't rip you apart scar ?,give,give,VB,reason,me,NN,PRP
summer brings so many things summer brings us rides on swings .,bring,brings,VBZ,us,things,PRP,NNS
freight is what the airplane carries what the air what the truck carries .,carry,carries,VBZ,what,air,WP,NN
find me an a ?,find,find,VB,a,me,NN,PRP
baaee gives nathaniel a hair cut .,give,gives,VBZ,cut,nathaniel,NN,NNP
i think michael can you bring us some shampoo .,bring,bring,VB,shampoo,us,NN,PRP
give daddy a big hug and i'll tell you something ?,give,give,VB,hug,daddy,NN,NN
give me a big hug and i'll tell you something .,give,give,VB,hug,me,NN,PRP
give me a big hug and i'll tell you something ?,give,give,VB,hug,me,NN,PRP
oliver wants to say hello and wish you happy birthday ?,wish,wish,VB,birthday,you,NN,PRP
what're you gonna tell her ?,tell,tell,VB,her,what,PRP,WP
is mommy gonna make you some pants ?,make,make,VB,pants,you,NNS,PRP
did santa claus say he'd bring you it ?,bring,bring,VB,it,you,PRP,PRP
let me give him the phone ?,give,give,VB,phone,him,NN,PRP
give me your hand .,give,give,VB,hand,me,NN,PRP
oh you gave him a kiss ?,give,gave,VBD,kiss,him,NN,PRP
what did you tell gramma hankey ?,tell,tell,VB,hankey,what,NNP,WP
show me some of the biggest ones ?,show,show,VB,some,me,DT,PRP
and you know what comes at the end of a sentence i didn't tell you this before a period .,tell,tell,VB,this,you,DT,PRP
i'm gonna give you a different bowl for your berries okay .,give,give,VB,bowl,you,NN,PRP
oh i better give the bear yogurt .,give,give,VBP,yogurt,bear,NN,NNP
i will give you some more blueberries little bear ?,give,give,VB,blueberries,you,NNS,PRP
give me that rag .,give,give,VB,rag,me,NN,PRP
give me that .,give,give,VB,that,me,DT,PRP
you read me the story and i'll listen .,read,read,VBD,story,me,NN,PRP
can you tell me anything else about the circus ?,tell,tell,VB,anything,me,NN,PRP
can you tell me about the circus though better tell me more ?,tell,tell,VB,more,me,JJR,PRP
hey will you tell me a story about these stickers .,tell,tell,VB,story,me,NN,PRP
wait tell me tell me a story about this fish .,tell,tell,VB,story,me,NN,PRP
do you wanna tell me more about this fish ?,tell,tell,VB,more,me,JJR,PRP
are they gonna read him stories ?,read,read,VB,stories,him,NNS,PRP
yeah and can you tell me the story of when we got this puzzle .,tell,tell,VB,story,me,NN,PRP
and what'd you tell mommy .,tell,tell,VB,mommy,what,NN,WP
oh wait no tell me all about this one first tell me a story .,tell,tell,VB,me,me,PRP,PRP
can you tell me another story ?,tell,tell,VB,story,me,NN,PRP
give mr ears lovins .,give,give,VB,lovins,ears,NNP,NNP
give mr ears a kiss .,give,give,VB,kiss,ears,NN,NNP
what did i tell you ?,tell,tell,VB,you,what,PRP,WP
stand up so i can show you something .,show,show,VB,something,you,NN,PRP
you gave me goose bumps ?,give,gave,VBD,bumps,me,NNS,PRP
well give me your other hand .,give,give,VB,hand,me,NN,PRP
give me this hand .,give,give,VB,hand,me,NN,PRP
oh oliver gonna bring her a pizza .,bring,bring,VB,pizza,her,NN,PRP
what he tell you ?,tell,tell,VBP,you,what,PRP,WP
okay give me the pirate and you take bob .,give,give,VB,pirate,me,NN,PRP
okay give mommy the pirate thank you ?,give,give,VB,pirate,mommy,NN,NN
whoop push him a little alex ?,push,push,VB,alex,him,NN,PRP
thank you for showing me abe .,show,showing,VBG,abe,me,NNP,PRP
give me a kiss .,give,give,VB,kiss,me,NN,PRP
what kind are you making violet ?,make,making,VBG,violet,kind,NN,NN
let's show daddy what we made .,show,show,VB,daddy,'s,NN,PRP
could i give you a kissy !,give,give,VB,kissy,you,NN,PRP
here hand me the mail box .,hand,hand,VB,box,me,NN,PRP
here hand me the baggie let's save it ?,hand,hand,VB,baggie,me,NN,PRP
that's what you told her .,tell,told,VBD,her,what,PRP,WP
give it a little push .,give,give,VB,push,it,NN,PRP
is she happy is she telling you something .,tell,telling,VBG,something,you,NN,PRP
show me your fingers !,show,show,VB,fingers,me,NNS,PRP
okay read me some more .,read,read,VB,more,me,JJR,PRP
okay you gonna read me another story ?,read,read,VB,story,me,NN,PRP
give me that puzzle you don't throw it around like that ?,give,give,VB,puzzle,me,NN,PRP
you didn't read me this this one about the animals .,read,read,VB,this,me,DT,PRP
give him a bath .,give,give,VB,bath,him,NN,PRP
should we give her a push .,give,give,VB,push,her,NN,PRP
and what'd his mom tell him ?,tell,tell,VB,him,what,PRP,WP
i'll give you a hint i'll show you something that might remind you of where we went last night okay .,give,give,VB,hint,you,NN,PRP
he swammed remember what else what did he fly .,fly,fly,VB,what,what,WP,WP
do you know what they call that where they are here ?,call,call,VBP,that,what,DT,WP
it's a funny o yep that's what daddy was telling you last night it's a funny o it has this little tail on it .,tell,telling,VBG,you,what,PRP,WP
he was hitting the pins over and if he got three of them in a row remember what happens if you get three strikes in a row do you remember what they call that .,call,call,VBP,that,what,DT,WP
bring her something she hasn't seen .,bring,bring,VB,something,her,NN,PRP
okay you can show her that .,show,show,VB,that,her,DT,PRP
show her that .,show,show,VB,that,her,DT,PRP
one of the reasons erin came back though is because she didn't get to hear the whole story of shrek so i thought we could tell her it together even though she's never seen the movie .,tell,tell,VB,it,her,PRP,PRP
you wanna watch it well let's tell her the story and then after she goes we can watch it ?,tell,tell,VB,story,her,NN,PRP
there are no foxes and no turtles and the people feed us peanuts .,feed,feed,VBP,peanuts,us,NNS,PRP
michael fed them peanuts ?,feed,fed,VBD,peanuts,them,NNS,PRP
sorry i would have given you some water if i knew you wanted it .,give,given,VBN,water,you,NN,PRP
pass me the milk .,pass,pass,VB,milk,me,NN,PRP
and i gave her err adrenaline .,give,gave,VBD,adrenaline,her,NN,PRP
could you tell us something besides that ?,tell,tell,VB,something,us,NN,PRP
why don't you make pooh a waffle .,make,make,VB,waffle,pooh,NN,UH
what did you tell me in the pool was a good name for a dog ?,tell,tell,VB,me,what,PRP,WP
well no i gave you a different kind of milk .,give,gave,VBD,kind,you,NN,PRP
who gave you that barbie doll ?,give,gave,VBD,doll,you,NN,PRP
give cookie monster a kiss .,give,give,VB,kiss,monster,NN,NNP
can you bring me that box ?,bring,bring,VB,box,me,NN,PRP
show courtney your boo boo .,show,show,VB,boo,courtney,NN,NNP
mommy didn't give you no juice .,give,give,VB,juice,you,NN,PRP
who gave you that dress ?,give,gave,VBD,dress,you,NN,PRP
who gave you that dress ?,give,gave,VBD,dress,you,NN,PRP
give me some fish hunka munka .,give,give,VB,fish,me,NN,PRP
okay i'm gonna ask the bird children questions about the pictures .,ask,ask,VB,questions,children,NNS,NNS
mm what are you showing me .,show,showing,VBG,me,what,PRP,WP
i'll find you some mail you can open in a little bit ?,find,find,VB,mail,you,NN,PRP
why don't you sing em a song and play for them ?,sing,sing,VB,song,em,NN,PRP
will you give me the slide ?,give,give,VB,slide,me,NN,PRP
uh could you give me some pills ?,give,give,VB,pills,me,NNS,PRP
no i'll give you some more if i have one .,give,give,VB,more,you,JJR,PRP
would you give me one too ?,give,give,VB,one,me,NN,PRP
i thought you'd give me a hot dog and i'd give you some money .,give,give,VB,dog,me,NN,PRP
here let me show you a nice page wait a minute .,show,show,VB,page,you,NN,PRP
you keep telling me that but i don't think i am .,tell,telling,VBG,that,me,DT,PRP
show me the point ?,show,show,VB,point,me,NN,PRP
no she just sent us a letter ?,send,sent,VBD,letter,us,NN,PRP
how many do you want abe ?,want,want,VB,abe,many,NNP,JJ
they gave her a little piggie bank did i tell you that .,give,gave,VBD,bank,her,NN,PRP
this is her mouth do you wanna give her some lips .,give,give,VB,lips,her,NNS,PRP
i wanna show you something .,show,show,VB,something,you,NN,PRP
did he give you a kiss .,give,give,VB,kiss,you,NN,PRP
are you gonna make mommy a picture .,make,make,VB,picture,mommy,NN,NN
when i was young i used to wait on massah and hand him his plate ?,hand,hand,VB,plate,him,NN,PRP
we'll give him a hearty welcome then ?,give,give,VB,welcome,him,NN,PRP
can i give you a kiss ?,give,give,VB,kiss,you,NN,PRP
well you give him the pen ?,give,give,VBP,pen,him,NN,PRP
i'll write you a note then you can have one ?,write,write,VB,note,you,NN,PRP
dad bring me those big rocks on the second shelf ?,bring,bring,VB,rocks,me,NNS,PRP
and then we tell it stories about smoke alarms and stuff ?,tell,tell,VBP,stories,it,NNS,PRP
you wanna give me this ?,give,give,VB,this,me,DT,PRP
what am i gonna show you ?,show,show,VB,you,what,PRP,WP
sarah can you tell me a story .,tell,tell,VB,story,me,NN,PRP
who gave you that dollie ?,give,gave,VBD,dollie,you,NN,PRP
who gave you that ?,give,gave,VBD,that,you,DT,PRP
she gave you what ?,give,gave,VBD,what,you,WP,PRP
oh she gave you a whole bunch ?,give,gave,VBD,bunch,you,NN,PRP
she gave you strawberry .,give,gave,VBD,strawberry,you,NN,PRP
she gave you a strawberry lipstick ?,give,gave,VBD,lipstick,you,NN,PRP
oh but we don't wanna give her something yucky ?,give,give,VB,something,her,NN,PRP
you're gonna give her the dumper too huh .,give,give,VB,dumper,her,NN,PRP
okay we gotta tell her that then ?,tell,tell,VB,that,her,DT,PRP
we told her that .,tell,told,VBD,that,her,DT,PRP
you know who gave you these .,give,gave,VBD,these,you,DT,PRP
i think aunt katy gave you those .,give,gave,VBD,those,you,DT,PRP
aunt kim gave you these .,give,gave,VBD,these,you,DT,PRP
you made mommy a fervop cake ?,make,made,VBD,cake,mommy,NN,NN
should we give her more .,give,give,VB,more,her,JJR,PRP
you made mommy a vervop cake .,make,made,VBD,cake,mommy,NN,NN
that's what it says what do you wanna show erin today .,show,show,VB,erin,what,NNP,WP
do you wanna see what the neighbor lady gave you ?,give,gave,VBD,you,what,PRP,WP
should i give sammy the balloon .,give,give,VB,balloon,sammy,NN,NNP
who gave you the balloon do you remember ?,give,gave,VBD,balloon,you,NN,PRP
they gave you that balloon and this what is this ?,give,gave,VBD,balloon,you,NN,PRP
yeah and a nice little holder for the m and m's that's what they gave you ?,give,gave,VBD,you,what,PRP,WP
just because i always give you one of these tiny bowls .,give,give,VBP,one,you,CD,PRP
because i made you hot chocolate .,make,made,VBD,chocolate,you,NN,PRP
did daddy give you chocolate in your bed ?,give,give,VB,chocolate,you,NN,PRP
who gave you daisy do you remember ?,give,gave,VBD,daisy,you,NNP,PRP
auntie gave you daisy remember .,give,gave,VBD,daisy,you,NNP,PRP
you are so smart i forgot to tell daddy that you told me that yesterday ?,tell,told,VBD,that,me,DT,PRP
his mommy gave him lots of kisses ?,give,gave,VBD,lots,him,NNS,PRP
can i give you a kiss .,give,give,VB,kiss,you,NN,PRP
you know what you didn't tell amanda .,tell,tell,VB,amanda,what,NNP,WP
hey give me that that's mine i want it right now ?,give,give,VB,that,me,DT,PRP
but if he's gonna be polite and courteous and nice then we'll give him some pretend gum ?,give,give,VB,gum,him,NN,PRP
who taught you that ?,teach,taught,VBD,that,you,DT,PRP
are you gonna french show and tell then that thing .,tell,tell,VB,thing,then,NN,RB
give me the mailman .,give,give,VB,mailman,me,NN,PRP
family puppets oh put them on and tell me a story can you put them on your hands .,tell,tell,VB,story,me,NN,PRP
yep that's the daddy can you tell me a story about the daddy !,tell,tell,VB,story,me,NN,PRP
tell me a story pretend like he's our daddy uh oh what does our daddy do ?,tell,tell,VB,story,me,NN,PRP
hand him a motorcycle magazine and he'll sit there the rest of the evening .,hand,hand,VB,magazine,him,NN,PRP
give me a bahbah now don't baby pick it up no look here you're gonna lose the necklace put it back on the little girl .,give,give,VB,bahbah,me,NN,PRP
he's giving him a lick wasn't he .,give,giving,VBG,lick,him,NN,PRP
mama i'll give you the pieces ?,give,give,VB,pieces,you,NNS,PRP
sit down and i'll read you a story push it through you got it sit down don't spill it alright which one you want to read ?,read,read,VB,story,you,NN,PRP
what would you tell him ?,tell,tell,VB,him,what,PRP,WP
i wanna show you something .,show,show,VB,something,you,NN,PRP
can you push the go circle right there the green go ?,push,push,VB,go,circle,NN,NN
wanna sing me a song .,sing,sing,VB,song,me,NN,PRP
sing them a lullaby .,sing,sing,VB,lullaby,them,NN,PRP
will you give him dinner then ?,give,give,VB,dinner,him,NN,PRP
you tell him hey you .,tell,tell,VBP,you,him,PRP,PRP
so you should give me some .,give,give,VB,some,me,DT,PRP
if i had some i'd give you some .,give,give,VB,you,some,PRP,DT
here i'll show you this one .,show,show,VB,one,you,NN,PRP
now give mommy the little one .,give,give,VB,one,mommy,NN,NN
give me those tracks over there ?,give,give,VB,tracks,me,NNS,PRP
oh alex give me those honey .,give,give,VB,honey,me,NN,PRP
just give him the blue .,give,give,VB,blue,him,NN,PRP
give him a project ?,give,give,VB,project,him,NN,PRP
give me that ?,give,give,VB,that,me,DT,PRP
give me the other piece on ?,give,give,VB,piece,me,NN,PRP
can we give this a rest ?,give,give,VB,rest,this,NN,DT
can we give the train a break so we don't use the battery ?,give,give,VB,break,train,NN,NN
let's give it a break because the train's probably so tired from pulling the other ones ?,give,give,VB,break,it,NN,PRP
it's a van let's see if it tells you a delivery van .,tell,tells,VBZ,van,you,NN,PRP
whoops give me the spocket please ?,give,give,VB,spocket,me,NN,PRP
give me another one .,give,give,VB,one,me,NN,PRP
give mommy another one ?,give,give,VB,one,mommy,NN,NN
give mommy another one .,give,give,VB,one,mommy,NN,NN
gonna give me a big long nose ?,give,give,VB,nose,me,NN,PRP
and what name did you give it .,give,give,VB,it,name,PRP,NN
you also gave it the name cocky .,give,gave,VBD,name,it,NN,PRP
cookie i brought you some popcorn .,bring,brought,VBD,popcorn,you,NN,PRP
save yourself the trip and ?,save,save,VB,trip,yourself,NN,PRP
just give us the envelope and i'll throw it away .,give,give,VB,envelope,us,NN,PRP
you feed your cows good milk .,feed,feed,VBP,milk,cows,NN,NNS
okay let's give jenny the car .,give,give,VB,car,jenny,NN,NNP
maybe i could give it loi could i give the pen loi ?,give,give,VB,loi,it,NNP,PRP
could you give me that red wheel over there please ?,give,give,VB,wheel,me,NN,PRP
could you give me the red wheel over there ?,give,give,VB,wheel,me,NN,PRP
who do you who do you think ?,think,think,VB,who,who,WP,WP
which one are you gonna give jen ?,give,give,VB,jen,one,NNP,NN
i think you'd better give her one or she take one .,give,give,VB,one,her,CD,PRP
well then you give her another one .,give,give,VBP,one,her,NN,PRP
well let me give you another piece .,give,give,VB,piece,you,NN,PRP
tell us some more about school before you push it .,tell,tell,VB,more,us,JJR,PRP
to push it oh you want ta give me my pen and put it back in the um pencil case for me ?,give,give,VB,pen,me,NN,PRP
she can't give you that kind .,give,give,VB,kind,you,NN,PRP
they'll give you some when you when they come back peter .,give,give,VB,some,you,DT,PRP
your mom'll give you one .,give,give,VB,one,you,NN,PRP
okay why don't you keep the paper and give me the pen and let your mommy give you another one okay ?,give,give,VB,pen,me,NN,PRP
mama'll give you one .,give,give,VB,one,you,NN,PRP
just give me that part .,give,give,VB,part,me,NN,PRP
you give them their box pete .,give,give,VBP,pete,them,NNP,PRP
well i don't know you tell me graham charlie steven or henry .,tell,tell,VBP,steven,me,NNP,PRP
give it a try ?,give,give,VB,try,it,NN,PRP
okay i just wanna tell amanda one quick thing ?,tell,tell,VB,thing,amanda,NN,NNP
you wanna give it a try ?,give,give,VB,try,it,NN,PRP
she gave you a kiss .,give,gave,VBD,kiss,you,NN,PRP
can you tell me something ?,tell,tell,VB,something,me,NN,PRP
watch i'm gonna have give me the elephant .,give,give,VB,elephant,me,NN,PRP
i wanna tell you something .,tell,tell,VB,something,you,NN,PRP
okay come here and i'll give you one ?,give,give,VB,one,you,NN,PRP
teach her a new word ?,teach,teach,VB,word,her,NN,PRP
what piece of meat i'll give you laura ?,give,give,VB,you,piece,PRP,NN
should i bring them some food at this restaurant .,bring,bring,VB,food,them,NN,PRP
oh he gave you some candy ?,give,gave,VBD,candy,you,NN,PRP
you can ask cromer if he'll give you some more gas ?,give,give,VB,gas,you,NN,PRP
you're giving perro a ride .,give,giving,VBG,ride,perro,NN,NNP
what did you write adam ?,write,write,VB,adam,what,NNP,WP
i'll show you wait a minute no this one this one this one ?,show,show,VB,one,you,NN,PRP
you show me the beginning pages ?,show,show,VB,pages,me,NNS,PRP
alright go put your train away and i'll give you the measure ?,give,give,VB,measure,you,NN,PRP
i'll give you the measure back .,give,give,VB,measure,you,NN,PRP
okay give me the measure .,give,give,VB,measure,me,NN,PRP
i i cannot find him my goodness .,find,find,VB,goodness,him,NN,PRP
who told you that ?,tell,told,VBD,that,you,DT,PRP
you wanna read me the story ?,read,read,VB,story,me,NN,PRP
why don't you give me some money back .,give,give,VB,money,me,NN,PRP
are you gonna give me some money ?,give,give,VB,money,me,NN,PRP
should we give the flying head some really black eyes here ?,give,give,VB,eyes,head,NNS,NN
what color emma should we make ?,make,make,VB,emma,color,NN,NN
sweetie why don't we color some of your princess papers that we can show daddy later let's bring this over so we can lean on this you carry your box .,show,show,VB,daddy,that,NN,WDT
should we give her orange lips .,give,give,VB,lips,her,NNS,PRP
do you give her kisses ?,give,give,VB,kisses,her,NNS,PRP
surprise the birds and mice gave cinderella the finished gown !,give,gave,VBD,gown,cinderella,NN,NNP
i'm gonna give you a hint .,give,give,VB,hint,you,NN,PRP
give max a bath put him right in that water !,give,give,VB,bath,max,NN,NNP
so ruby read him his favorite book .,read,read,VBD,book,him,NN,PRP
when we had moved down here you know school options and stuff and she's the one who showed me the french american school because she speaks french and i was like oh you know and it was great in the beginning and then she ended up going the montessori route and um ?,show,showed,VBD,school,me,NN,PRP
violet can i give you a kiss good bye ?,give,give,VB,kiss,you,NN,PRP
um will you just tell me your name again yeah .,tell,tell,VB,name,me,NN,PRP
shut him off and i'll make you some breakfast ?,make,make,VB,breakfast,you,NN,PRP
i gave my love a cherry that has no stone .,give,gave,VBD,cherry,love,NN,NN
i gave my love a chicken that has no bone .,give,gave,VBD,chicken,love,NN,NN
i gave my love a ring that has no end .,give,gave,VBD,ring,love,NN,NN
i gave my love a baby with no crying .,give,gave,VBD,baby,love,NN,NN
tom pierce tom pierce lend me your gray mare .,lend,lend,VB,mare,me,NNP,PRP
i gave my love a cherry .,give,gave,VBD,cherry,love,NN,NN
i gave my love a chicken .,give,gave,VBD,chicken,love,NN,NN
i gave my love a ring .,give,gave,VBD,ring,love,NN,NN
i gave my love a baby .,give,gave,VBD,baby,love,NN,NN
on massah and hand him his plate .,hand,hand,VB,plate,him,NN,PRP
we'll give him a hearty .,give,give,VB,hearty,him,NN,PRP
look i'll give her mine okay ?,give,give,VB,mine,her,PRP,PRP
what you want the cheese little ?,want,want,VBP,cheese,what,NN,WP
you're gonna tell me a secret ?,tell,tell,VB,secret,me,NN,PRP
i'm gonna tell you an even better secret .,tell,tell,VB,secret,you,NN,PRP
oh give me an injection .,give,give,VB,injection,me,NN,PRP
laura tell me something first .,tell,tell,VB,something,me,NN,PRP
can i ask you a question .,ask,ask,VB,question,you,NN,PRP
you don't remember how about i give you a hint .,give,give,VBP,hint,you,NN,PRP
i give you a hint okay .,give,give,VBP,hint,you,NN,PRP
show mommy your fishing pole ?,show,show,VB,pole,mommy,NN,NN
come give me a kiss goodbye .,give,give,VB,kiss,me,NN,PRP
show daddy your trucks ?,show,show,VB,trucks,daddy,NNS,NN
i know but take me a minute .,take,take,VB,minute,me,NN,PRP
would you show me some trucks please ?,show,show,VB,trucks,me,NNS,PRP
give mommy kisses ?,give,give,VB,kisses,mommy,NNS,NN
come here give me big kisses ?,give,give,VB,kisses,me,NNS,PRP
give me a hug .,give,give,VB,hug,me,NN,PRP
give me big hugs .,give,give,VB,hugs,me,NNS,PRP
yeah oh are you giving me pats on the back .,give,giving,VBG,pats,me,NNS,PRP
i give you pats on the back .,give,give,VBP,pats,you,NNS,PRP
give me kisses .,give,give,VB,kisses,me,NNS,PRP
you wanna show me the fish ?,show,show,VB,fish,me,NN,PRP
you gonna read me a story ?,read,read,VB,story,me,NN,PRP
what do you feed him sarah ?,feed,feed,VB,him,what,PRP,WP
mummy give you some of her coffee okay !,give,give,VBP,some,you,DT,PRP
who give you all the books ?,give,give,VBP,books,you,NNS,PRP
give me your mittens and i'll put them away until next year ?,give,give,VB,mittens,me,NNS,PRP
come show mommy the book we're reading abe .,show,show,VB,book,mommy,NN,NN
mommy's teaching you all this stuff .,teach,teaching,VBG,stuff,you,NN,PRP
oh you taught him that .,teach,taught,VBD,that,him,DT,PRP
and then you just give them the numbers it's very very easy it only takes a second .,give,give,VBP,numbers,them,NNS,PRP
you almost made it seventeen but not quite because i think that's a j .,make,made,VBD,seventeen,it,CD,PRP
alex tell me a joke where's your joke can you tell me a joke ?,tell,tell,VB,joke,me,NN,PRP
can you tell me a joke ?,tell,tell,VB,joke,me,NN,PRP
yeah i gave it him but he's not interested in it ?,give,gave,VBD,him,it,PRP,PRP
and then they go walk walk walk and they show her the house ?,show,show,VBP,house,her,NN,PRP
what did the doctor give you because you were such a good girl ?,give,give,VB,you,what,PRP,WP
is he gonna give him a push .,give,give,VB,push,him,NN,PRP
he's giving him a gentle push ?,give,giving,VBG,push,him,NN,PRP
did daddy tell you that .,tell,tell,VB,that,you,DT,PRP
you wanna read me the story ?,read,read,VB,story,me,NN,PRP
can you tell me the story ?,tell,tell,VB,story,me,NN,PRP
i don't know what name should we give him .,give,give,VB,him,name,PRP,NN
have you shown jessica your ketchup .,show,shown,VBN,ketchup,jessica,NN,NNP
you can write robbie a letter ?,write,write,VB,letter,robbie,NN,NNP
does it give you energy ?,give,give,VB,energy,you,NN,PRP
let's go upstairs and play you wanna show jenell some of your toys upstairs ?,show,show,VB,some,jenell,DT,NNP
you can you can read me the story .,read,read,VB,story,me,NN,PRP
come here read me these stories .,read,read,VB,stories,me,NNS,PRP
will you read me a new book ?,read,read,VB,book,me,NN,PRP
here read me one about santa because he's coming soon huh .,read,read,VB,one,me,NN,PRP
you've already read me that book .,read,read,VBN,book,me,NN,PRP
here read me this read me this book please ?,read,read,VB,this,me,DT,PRP
will you read me this book .,read,read,VB,book,me,NN,PRP
okay now read me the duck book .,read,read,VB,book,me,NNP,PRP
read me this book ?,read,read,VB,book,me,NN,PRP
read me the story what is he doing .,read,read,VB,story,me,NN,PRP
are you gonna tell me a story about this book now and then we'll be done ?,tell,tell,VB,story,me,NN,PRP
tulip will be worried now that we're both mithing missing said puddle i'd better give her a jingle ?,give,give,VB,jingle,her,NN,PRP
how about we read your fifty states book that aunt jill gave you ?,give,gave,VBD,you,that,PRP,WDT
i'll give you that box when i'm through taking those .,give,give,VB,box,you,NN,PRP
i'll give you that one day .,give,give,VB,day,you,NN,PRP
you know what i bet you it is a police car .,bet,bet,VBP,you,what,PRP,WP
can i ask you a question .,ask,ask,VB,question,you,NN,PRP
toad made frog a cup of hot tea .,make,made,VBD,cup,frog,NN,NNP
frog drank the tea and then he said tell me a story while i'm resting .,tell,tell,VB,story,me,NN,PRP
so the toad went to bed and the frog got up and told him a story .,tell,told,VBD,story,him,NN,PRP
no one has ever sent me a letter .,send,sent,VBN,letter,me,NN,PRP
toad said frog you never know when someone may send you a letter .,send,send,VB,letter,you,NN,PRP
no i don't think anyone will ever send me a letter .,send,send,VB,letter,me,NN,PRP
but toad someone might send you a letter today .,send,send,VB,letter,you,NN,PRP
four days later the snail got to toad's house and gave him the letter from frog .,give,gave,VBD,letter,him,NN,PRP
tell daddy tell daddy your skin ?,tell,tell,VB,skin,daddy,NN,NN
that's what you told me ?,tell,told,VBD,me,what,PRP,WP
who gave you the stitches ?,give,gave,VBD,stitches,you,NNS,PRP
and i gave you ice cream later aha ?,give,gave,VBD,cream,you,NN,PRP
didn't i oh what did i give you .,give,give,VB,what,oh,WP,UH
didn't i give you an orange popsicle ?,give,give,VB,popsicle,you,NN,PRP
i suppose i didn't give you any seven up either .,give,give,VB,seven,you,CD,PRP
kittie told you that .,tell,told,VBD,that,you,DT,PRP
is it mike did mike tell you that .,tell,tell,VB,that,you,DT,PRP
blanche gave you macaroni tonight ?,give,gave,VBD,macaroni,you,NNS,PRP
oh you're gonna give me a ride ?,give,give,VB,ride,me,NN,PRP
