idx,template_id,item,dative,hypothesis_id,hypothesis_item,template_type,template,combo,stimulus,agent,theme,recipient,theme_pronominality,theme_animacy,theme_definiteness,recipient_pronominality,recipient_animacy,recipient_definiteness,length_diff,givenness_template,theme_givenness,recipient_givenness
4888,1,306,pp,306,4,agent-only,agent-only,agent-only_none__niinii_-2,"Do you see Alex ?
<s> Alex [verb] a small pencil to a cookie with chocolate frosting .",Alex,a small pencil,a cookie with chocolate frosting,noun,inanimate,indefinite,noun,inanimate,indefinite,-2,1,new,new
4889,1,306,do,306,5,agent-only,agent-only,agent-only_none__niinii_-2,"Do you see William ?
<s> William [verb] a cup with orange juice some little toys .",William,some little toys,a cup with orange juice,noun,inanimate,indefinite,noun,inanimate,indefinite,-2,1,new,new
4890,1,306,pp,306,5,agent-only,agent-only,agent-only_none__niinii_-2,"Do you see William ?
<s> William [verb] some little toys to a cup with orange juice .",William,some little toys,a cup with orange juice,noun,inanimate,indefinite,noun,inanimate,indefinite,-2,1,new,new
4891,1,306,do,306,6,agent-only,agent-only,agent-only_none__niinii_-2,"Do you see Mark ?
<s> Mark [verb] a cup with no lid some yummy cookies .",Mark,some yummy cookies,a cup with no lid,noun,inanimate,indefinite,noun,inanimate,indefinite,-2,1,new,new
4892,1,306,pp,306,6,agent-only,agent-only,agent-only_none__niinii_-2,"Do you see Mark ?
<s> Mark [verb] some yummy cookies to a cup with no lid .",Mark,some yummy cookies,a cup with no lid,noun,inanimate,indefinite,noun,inanimate,indefinite,-2,1,new,new
4893,1,306,do,306,7,agent-only,agent-only,agent-only_none__niinii_-2,"Do you see Michael ?
<s> Michael [verb] a cookie with chocolate frosting some white pencils .",Michael,some white pencils,a cookie with chocolate frosting,noun,inanimate,indefinite,noun,inanimate,indefinite,-2,1,new,new
4894,1,306,pp,306,7,agent-only,agent-only,agent-only_none__niinii_-2,"Do you see Michael ?
<s> Michael [verb] some white pencils to a cookie with chocolate frosting .",Michael,some white pencils,a cookie with chocolate frosting,noun,inanimate,indefinite,noun,inanimate,indefinite,-2,1,new,new
4895,1,306,do,306,8,agent-only,agent-only,agent-only_none__niinii_-2,"Do you see Judy ?
<s> Judy [verb] a box with the lights some little toys .",Judy,some little toys,a box with the lights,noun,inanimate,indefinite,noun,inanimate,indefinite,-2,1,new,new
4896,1,306,pp,306,8,agent-only,agent-only,agent-only_none__niinii_-2,"Do you see Judy ?
<s> Judy [verb] some little toys to a box with the lights .",Judy,some little toys,a box with the lights,noun,inanimate,indefinite,noun,inanimate,indefinite,-2,1,new,new
4897,1,307,do,307,1,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see William ?
<s> William [verb] a book that's on the floor some big boxes .",William,some big boxes,a book that's on the floor,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4898,1,307,pp,307,1,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see William ?
<s> William [verb] some big boxes to a book that's on the floor .",William,some big boxes,a book that's on the floor,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4899,1,307,do,307,2,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Michael ?
<s> Michael [verb] a toy that's in the basket a little cup .",Michael,a little cup,a toy that's in the basket,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4900,1,307,pp,307,2,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Michael ?
<s> Michael [verb] a little cup to a toy that's in the basket .",Michael,a little cup,a toy that's in the basket,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4901,1,307,do,307,3,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Jenny ?
<s> Jenny [verb] a toy that's in the box a little box .",Jenny,a little box,a toy that's in the box,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4902,1,307,pp,307,3,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Jenny ?
<s> Jenny [verb] a little box to a toy that's in the box .",Jenny,a little box,a toy that's in the box,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4903,1,307,do,307,4,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Alex ?
<s> Alex [verb] a box with all the food some chocolate cookies .",Alex,some chocolate cookies,a box with all the food,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4904,1,307,pp,307,4,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Alex ?
<s> Alex [verb] some chocolate cookies to a box with all the food .",Alex,some chocolate cookies,a box with all the food,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4905,1,307,do,307,5,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Sarah ?
<s> Sarah [verb] a box with all the food a big cup .",Sarah,a big cup,a box with all the food,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4906,1,307,pp,307,5,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Sarah ?
<s> Sarah [verb] a big cup to a box with all the food .",Sarah,a big cup,a box with all the food,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4907,1,307,do,307,6,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Judy ?
<s> Judy [verb] a cup with a red top some wooden pencils .",Judy,some wooden pencils,a cup with a red top,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4908,1,307,pp,307,6,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Judy ?
<s> Judy [verb] some wooden pencils to a cup with a red top .",Judy,some wooden pencils,a cup with a red top,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4909,1,307,do,307,7,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Mark ?
<s> Mark [verb] a toy that's in the bag some red pencils .",Mark,some red pencils,a toy that's in the bag,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4910,1,307,pp,307,7,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Mark ?
<s> Mark [verb] some red pencils to a toy that's in the bag .",Mark,some red pencils,a toy that's in the bag,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4911,1,307,do,307,8,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Laura ?
<s> Laura [verb] a cup with no lid some legos .",Laura,some legos,a cup with no lid,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4912,1,307,pp,307,8,agent-only,agent-only,agent-only_none__niinii_-3,"Do you see Laura ?
<s> Laura [verb] some legos to a cup with no lid .",Laura,some legos,a cup with no lid,noun,inanimate,indefinite,noun,inanimate,indefinite,-3,1,new,new
4913,1,308,do,308,1,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Jenny ?
<s> Jenny [verb] some blue balls a cup with water .",Jenny,a cup with water,some blue balls,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4914,1,308,pp,308,1,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Jenny ?
<s> Jenny [verb] a cup with water to some blue balls .",Jenny,a cup with water,some blue balls,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4915,1,308,do,308,2,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Mark ?
<s> Mark [verb] a box with the lights a ball that's on on top .",Mark,a ball that's on on top,a box with the lights,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4916,1,308,pp,308,2,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Mark ?
<s> Mark [verb] a ball that's on on top to a box with the lights .",Mark,a ball that's on on top,a box with the lights,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4917,1,308,do,308,3,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Laura ?
<s> Laura [verb] a pencil that's on the couch a book with a rabbit in it .",Laura,a book with a rabbit in it,a pencil that's on the couch,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4918,1,308,pp,308,3,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Laura ?
<s> Laura [verb] a book with a rabbit in it to a pencil that's on the couch .",Laura,a book with a rabbit in it,a pencil that's on the couch,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4919,1,308,do,308,4,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Judy ?
<s> Judy [verb] some cups some red toys .",Judy,some red toys,some cups,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4920,1,308,pp,308,4,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Judy ?
<s> Judy [verb] some red toys to some cups .",Judy,some red toys,some cups,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4921,1,308,do,308,5,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Sarah ?
<s> Sarah [verb] a toy that's in the bag a ball that looks like an egg .",Sarah,a ball that looks like an egg,a toy that's in the bag,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4922,1,308,pp,308,5,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Sarah ?
<s> Sarah [verb] a ball that looks like an egg to a toy that's in the bag .",Sarah,a ball that looks like an egg,a toy that's in the bag,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4923,1,308,do,308,6,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Michael ?
<s> Michael [verb] some small pencils a book with pictures .",Michael,a book with pictures,some small pencils,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4924,1,308,pp,308,6,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Michael ?
<s> Michael [verb] a book with pictures to some small pencils .",Michael,a book with pictures,some small pencils,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4925,1,308,do,308,7,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Alex ?
<s> Alex [verb] some little toys a cup with water .",Alex,a cup with water,some little toys,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4926,1,308,pp,308,7,agent-only,agent-only,agent-only_none__niinii_1,"Do you see Alex ?
<s> Alex [verb] a cup with water to some little toys .",Alex,a cup with water,some little toys,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4927,1,308,do,308,8,agent-only,agent-only,agent-only_none__niinii_1,"Do you see William ?
<s> William [verb] a pencil some tiny books .",William,some tiny books,a pencil,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4928,1,308,pp,308,8,agent-only,agent-only,agent-only_none__niinii_1,"Do you see William ?
<s> William [verb] some tiny books to a pencil .",William,some tiny books,a pencil,noun,inanimate,indefinite,noun,inanimate,indefinite,1,1,new,new
4929,1,309,do,309,1,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Mark ?
<s> Mark [verb] a food a cookie with a hole in it .",Mark,a cookie with a hole in it,a food,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4930,1,309,pp,309,1,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Mark ?
<s> Mark [verb] a cookie with a hole in it to a food .",Mark,a cookie with a hole in it,a food,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4931,1,309,do,309,2,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Sarah ?
<s> Sarah [verb] some legos a book with a rabbit in it .",Sarah,a book with a rabbit in it,some legos,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4932,1,309,pp,309,2,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Sarah ?
<s> Sarah [verb] a book with a rabbit in it to some legos .",Sarah,a book with a rabbit in it,some legos,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4933,1,309,do,309,3,agent-only,agent-only,agent-only_none__niinii_5,"Do you see William ?
<s> William [verb] a box a ball that looks like an egg .",William,a ball that looks like an egg,a box,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4934,1,309,pp,309,3,agent-only,agent-only,agent-only_none__niinii_5,"Do you see William ?
<s> William [verb] a ball that looks like an egg to a box .",William,a ball that looks like an egg,a box,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4935,1,309,do,309,4,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Laura ?
<s> Laura [verb] a pencil a book with a rabbit in it .",Laura,a book with a rabbit in it,a pencil,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4936,1,309,pp,309,4,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Laura ?
<s> Laura [verb] a book with a rabbit in it to a pencil .",Laura,a book with a rabbit in it,a pencil,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4937,1,309,do,309,5,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Alex ?
<s> Alex [verb] some books a ball with a star on it .",Alex,a ball with a star on it,some books,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4938,1,309,pp,309,5,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Alex ?
<s> Alex [verb] a ball with a star on it to some books .",Alex,a ball with a star on it,some books,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4939,1,309,do,309,6,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Michael ?
<s> Michael [verb] some pencils a cookie with a hole in it .",Michael,a cookie with a hole in it,some pencils,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4940,1,309,pp,309,6,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Michael ?
<s> Michael [verb] a cookie with a hole in it to some pencils .",Michael,a cookie with a hole in it,some pencils,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4941,1,309,do,309,7,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Jenny ?
<s> Jenny [verb] a chair a ball that looks like an egg .",Jenny,a ball that looks like an egg,a chair,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4942,1,309,pp,309,7,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Jenny ?
<s> Jenny [verb] a ball that looks like an egg to a chair .",Jenny,a ball that looks like an egg,a chair,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4943,1,309,do,309,8,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Judy ?
<s> Judy [verb] a cookie a ball with a star on it .",Judy,a ball with a star on it,a cookie,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4944,1,309,pp,309,8,agent-only,agent-only,agent-only_none__niinii_5,"Do you see Judy ?
<s> Judy [verb] a ball with a star on it to a cookie .",Judy,a ball with a star on it,a cookie,noun,inanimate,indefinite,noun,inanimate,indefinite,5,1,new,new
4945,1,310,do,310,1,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Laura ?
<s> Laura [verb] a chair a cup with a red top .",Laura,a cup with a red top,a chair,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4946,1,310,pp,310,1,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Laura ?
<s> Laura [verb] a cup with a red top to a chair .",Laura,a cup with a red top,a chair,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4947,1,310,do,310,2,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Alex ?
<s> Alex [verb] a lego a pencil that's on the radio .",Alex,a pencil that's on the radio,a lego,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4948,1,310,pp,310,2,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Alex ?
<s> Alex [verb] a pencil that's on the radio to a lego .",Alex,a pencil that's on the radio,a lego,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4949,1,310,do,310,3,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Michael ?
<s> Michael [verb] a food a pencil that's on the floor .",Michael,a pencil that's on the floor,a food,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4950,1,310,pp,310,3,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Michael ?
<s> Michael [verb] a pencil that's on the floor to a food .",Michael,a pencil that's on the floor,a food,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4951,1,310,do,310,4,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Sarah ?
<s> Sarah [verb] a little toy a cookie with a hole in it .",Sarah,a cookie with a hole in it,a little toy,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4952,1,310,pp,310,4,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Sarah ?
<s> Sarah [verb] a cookie with a hole in it to a little toy .",Sarah,a cookie with a hole in it,a little toy,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4953,1,310,do,310,5,agent-only,agent-only,agent-only_none__niinii_4,"Do you see William ?
<s> William [verb] some books a pencil that's on the desk .",William,a pencil that's on the desk,some books,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4954,1,310,pp,310,5,agent-only,agent-only,agent-only_none__niinii_4,"Do you see William ?
<s> William [verb] a pencil that's on the desk to some books .",William,a pencil that's on the desk,some books,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4955,1,310,do,310,6,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Jenny ?
<s> Jenny [verb] some chairs a toy that's on the floor .",Jenny,a toy that's on the floor,some chairs,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4956,1,310,pp,310,6,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Jenny ?
<s> Jenny [verb] a toy that's on the floor to some chairs .",Jenny,a toy that's on the floor,some chairs,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4957,1,310,do,310,7,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Judy ?
<s> Judy [verb] a toy a book that's on the floor .",Judy,a book that's on the floor,a toy,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4958,1,310,pp,310,7,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Judy ?
<s> Judy [verb] a book that's on the floor to a toy .",Judy,a book that's on the floor,a toy,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4959,1,310,do,310,8,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Mark ?
<s> Mark [verb] a little toy a ball that looks like an egg .",Mark,a ball that looks like an egg,a little toy,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4960,1,310,pp,310,8,agent-only,agent-only,agent-only_none__niinii_4,"Do you see Mark ?
<s> Mark [verb] a ball that looks like an egg to a little toy .",Mark,a ball that looks like an egg,a little toy,noun,inanimate,indefinite,noun,inanimate,indefinite,4,1,new,new
4961,1,311,do,311,1,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Sarah ?
<s> Sarah [verb] some small pencils a ball that's on on top .",Sarah,a ball that's on on top,some small pencils,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4962,1,311,pp,311,1,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Sarah ?
<s> Sarah [verb] a ball that's on on top to some small pencils .",Sarah,a ball that's on on top,some small pencils,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4963,1,311,do,311,2,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Laura ?
<s> Laura [verb] some red pencils a book that's on the floor .",Laura,a book that's on the floor,some red pencils,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4964,1,311,pp,311,2,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Laura ?
<s> Laura [verb] a book that's on the floor to some red pencils .",Laura,a book that's on the floor,some red pencils,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4965,1,311,do,311,3,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Mark ?
<s> Mark [verb] some little cookies a toy that's in the box .",Mark,a toy that's in the box,some little cookies,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4966,1,311,pp,311,3,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Mark ?
<s> Mark [verb] a toy that's in the box to some little cookies .",Mark,a toy that's in the box,some little cookies,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4967,1,311,do,311,4,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Jenny ?
<s> Jenny [verb] a red toy a cookie with m and ms .",Jenny,a cookie with m and ms,a red toy,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4968,1,311,pp,311,4,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Jenny ?
<s> Jenny [verb] a cookie with m and ms to a red toy .",Jenny,a cookie with m and ms,a red toy,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4969,1,311,do,311,5,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Judy ?
<s> Judy [verb] a book a cookie with chocolate frosting .",Judy,a cookie with chocolate frosting,a book,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4970,1,311,pp,311,5,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Judy ?
<s> Judy [verb] a cookie with chocolate frosting to a book .",Judy,a cookie with chocolate frosting,a book,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4971,1,311,do,311,6,agent-only,agent-only,agent-only_none__niinii_3,"Do you see William ?
<s> William [verb] some big books a pencil that's on the radio .",William,a pencil that's on the radio,some big books,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4972,1,311,pp,311,6,agent-only,agent-only,agent-only_none__niinii_3,"Do you see William ?
<s> William [verb] a pencil that's on the radio to some big books .",William,a pencil that's on the radio,some big books,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4973,1,311,do,311,7,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Michael ?
<s> Michael [verb] a blue toy a pencil that's on the couch .",Michael,a pencil that's on the couch,a blue toy,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4974,1,311,pp,311,7,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Michael ?
<s> Michael [verb] a pencil that's on the couch to a blue toy .",Michael,a pencil that's on the couch,a blue toy,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4975,1,311,do,311,8,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Alex ?
<s> Alex [verb] a big box a pencil that's on the floor .",Alex,a pencil that's on the floor,a big box,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4976,1,311,pp,311,8,agent-only,agent-only,agent-only_none__niinii_3,"Do you see Alex ?
<s> Alex [verb] a pencil that's on the floor to a big box .",Alex,a pencil that's on the floor,a big box,noun,inanimate,indefinite,noun,inanimate,indefinite,3,1,new,new
4977,1,312,do,312,1,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Sarah ?
<s> Sarah [verb] a chair a book with pictures .",Sarah,a book with pictures,a chair,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4978,1,312,pp,312,1,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Sarah ?
<s> Sarah [verb] a book with pictures to a chair .",Sarah,a book with pictures,a chair,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4979,1,312,do,312,2,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Laura ?
<s> Laura [verb] some small cups a book with those circles .",Laura,a book with those circles,some small cups,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4980,1,312,pp,312,2,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Laura ?
<s> Laura [verb] a book with those circles to some small cups .",Laura,a book with those circles,some small cups,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4981,1,312,do,312,3,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Alex ?
<s> Alex [verb] a green ball a cookie with chocolate frosting .",Alex,a cookie with chocolate frosting,a green ball,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4982,1,312,pp,312,3,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Alex ?
<s> Alex [verb] a cookie with chocolate frosting to a green ball .",Alex,a cookie with chocolate frosting,a green ball,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4983,1,312,do,312,4,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Judy ?
<s> Judy [verb] some big cookies a cup with no lid .",Judy,a cup with no lid,some big cookies,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4984,1,312,pp,312,4,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Judy ?
<s> Judy [verb] a cup with no lid to some big cookies .",Judy,a cup with no lid,some big cookies,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4985,1,312,do,312,5,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Mark ?
<s> Mark [verb] a treasure box a cookie with pink frosting .",Mark,a cookie with pink frosting,a treasure box,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4986,1,312,pp,312,5,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Mark ?
<s> Mark [verb] a cookie with pink frosting to a treasure box .",Mark,a cookie with pink frosting,a treasure box,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4987,1,312,do,312,6,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Michael ?
<s> Michael [verb] a small cup a cookie with chocolate frosting .",Michael,a cookie with chocolate frosting,a small cup,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4988,1,312,pp,312,6,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Michael ?
<s> Michael [verb] a cookie with chocolate frosting to a small cup .",Michael,a cookie with chocolate frosting,a small cup,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4989,1,312,do,312,7,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Jenny ?
<s> Jenny [verb] a tiny book a cup with no lid .",Jenny,a cup with no lid,a tiny book,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4990,1,312,pp,312,7,agent-only,agent-only,agent-only_none__niinii_2,"Do you see Jenny ?
<s> Jenny [verb] a cup with no lid to a tiny book .",Jenny,a cup with no lid,a tiny book,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4991,1,312,do,312,8,agent-only,agent-only,agent-only_none__niinii_2,"Do you see William ?
<s> William [verb] a white pencil a book with those circles .",William,a book with those circles,a white pencil,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4992,1,312,pp,312,8,agent-only,agent-only,agent-only_none__niinii_2,"Do you see William ?
<s> William [verb] a book with those circles to a white pencil .",William,a book with those circles,a white pencil,noun,inanimate,indefinite,noun,inanimate,indefinite,2,1,new,new
4993,1,313,do,313,1,agent-1arg,agent-theme,agent-1arg_theme__padpad_0,"Do you see Alex and Joseph ?
<s> Alex [verb] me him .",Alex,him,me,pronoun,animate,definite,pronoun,animate,definite,0,1,given,new
4994,1,313,pp,313,1,agent-1arg,agent-theme,agent-1arg_theme__padpad_0,"Do you see Alex and Joseph ?
<s> Alex [verb] him to me .",Alex,him,me,pronoun,animate,definite,pronoun,animate,definite,0,1,given,new
4995,1,313,do,313,2,agent-1arg,agent-theme,agent-1arg_theme__padpad_0,"Do you see Mark and Eve ?
<s> Mark [verb] us her .",Mark,her,us,pronoun,animate,definite,pronoun,animate,definite,0,1,given,new
4996,1,313,pp,313,2,agent-1arg,agent-theme,agent-1arg_theme__padpad_0,"Do you see Mark and Eve ?
<s> Mark [verb] her to us .",Mark,her,us,pronoun,animate,definite,pronoun,animate,definite,0,1,given,new
4997,1,313,do,313,3,agent-1arg,agent-theme,agent-1arg_theme__padpad_0,"Do you see Jenny and Lily ?
<s> Jenny [verb] me her .",Jenny,her,me,pronoun,animate,definite,pronoun,animate,definite,0,1,given,new
4998,1,313,pp,313,3,agent-1arg,agent-theme,agent-1arg_theme__padpad_0,"Do you see Jenny and Lily ?
<s> Jenny [verb] her to me .",Jenny,her,me,pronoun,animate,definite,pronoun,animate,definite,0,1,given,new
